name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,cloud_percentage
img_1794.tif,11.22181410901139,10.850519653768998,10.672908175724086,45,93049,38.05
img_1795.tif,11.085900802653743,10.785024109320286,10.773145639891236,106,87135,36.95
img_1797.tif,10.415989637983786,10.249842462629232,10.153273026363015,165,108992,10.92
img_1798.tif,9.582199180049734,9.428187028704924,9.41072908797125,38,31279,55.77
img_1799.tif,10.88097460149376,10.417109576630994,10.44836254685169,4,38599,78.61
img_1802.tif,10.800893851484403,10.612049616581528,10.523112706797114,113,80494,30.05
img_1803.tif,10.951051920832356,10.840048304727318,10.800264010969196,49,30017,65.64
img_1804.tif,9.731960541356765,9.66952312260275,9.673070697989209,0,0,21.55
img_1806.tif,11.105107858695323,11.037117856974572,11.041216063884448,22,15228,77.17
img_1809.tif,11.152768353421708,11.067784693012454,11.035736448008446,86,65356,34.79
img_181.tif,8.599561301869194,8.416635125150645,8.46397732452524,0,0,31.86
img_1811.tif,8.246935857981988,7.93626107041844,7.755922352469251,66,36412,12.91
img_1812.tif,9.41776390470964,9.21766855587896,9.157912322929183,61,81591,54.85
img_1813.tif,9.730059693216017,9.466352957738122,9.308689972912571,18,27161,60.57
img_1815.tif,10.877409588390131,10.778438426365808,10.786079738100948,6,697,87.14
img_1816.tif,10.540757865450928,10.467355360848693,10.465533908223222,75,113556,45.57
img_1817.tif,10.72358428214383,10.600826755584013,10.518167445544671,127,60511,23.38
img_1819.tif,10.443329378466494,10.344437550283374,10.309736833503738,93,66992,33.14
img_182.tif,10.157540198113692,9.80202558144206,9.5378370816288,28,45904,48.09
img_1820.tif,10.823141245558672,10.6467227704183,10.57524338679264,76,38686,58.12
img_1821.tif,10.467852681942436,10.39885253374892,10.346676272535136,141,140096,17.36
img_1822.tif,10.489412718944438,10.454071204848953,10.43270467957269,31,9432,82.7
img_1823.tif,10.980006717344567,10.898415777825235,10.84347372657791,116,64120,44.7
img_1825.tif,10.921702581897186,10.838504685282478,10.825481449662073,52,19016,56.09
img_1826.tif,10.983595185388255,10.91948793366048,10.932670078432333,13,3843,85.83
img_1827.tif,10.608639051605191,10.408866789316406,10.368485156482718,77,61927,24.98
